customer_id,gender,age_group,join_date,city
CUST00001,Perempuan,18-25,2024-09-05,Sibolga
CUST00002,Laki-laki,18-25,2024-06-20,Binjai
CUST00003,Laki-laki,46+,2025-12-18,Metro
CUST00004,Perempuan,36-45,2025-06-18,Tanjungbalai
CUST00005,Laki-laki,26-35,2026-02-20,Pematangsiantar
CUST00006,Perempuan,26-35,2026-02-02,Bogor
CUST00007,Laki-laki,46+,2026-02-28,Tidore Kepulauan
CUST00008,Laki-laki,26-35,2025-07-10,Denpasar
CUST00009,Perempuan,46+,2025-02-19,Kota Administrasi Jakarta Timur
CUST00010,Perempuan,26-35,2024-10-05,Depok
CUST00011,Perempuan,46+,2024-06-28,Denpasar
CUST00012,Perempuan,26-35,2024-10-11,Samarinda
CUST00013,Laki-laki,46+,2026-05-17,Cimahi
CUST00014,Perempuan,18-25,2025-03-25,Banjarbaru
CUST00015,Perempuan,36-45,2025-12-25,Sawahlunto
CUST00016,Laki-laki,46+,2025-08-26,Makassar
CUST00017,Perempuan,26-35,2025-09-19,Pematangsiantar
CUST00018,Perempuan,36-45,2026-02-24,Cimahi
CUST00019,Perempuan,36-45,2025-10-02,Tomohon
CUST00020,Laki-laki,46+,2026-03-14,Pariaman
CUST00021,Laki-laki,18-25,2026-02-12,Subulussalam
CUST00022,Perempuan,46+,2026-02-15,Denpasar
CUST00023,Perempuan,18-25,2026-05-19,Pangkalpinang
CUST00024,Laki-laki,36-45,2024-12-12,Surakarta
CUST00025,Laki-laki,36-45,2025-02-13,Denpasar
CUST00026,Perempuan,18-25,2025-11-09,Bima
CUST00027,Perempuan,36-45,2025-03-01,Semarang
CUST00028,Perempuan,18-25,2024-05-30,Tebingtinggi
CUST00029,Laki-laki,36-45,2024-07-15,Sukabumi
CUST00030,Perempuan,26-35,2026-05-03,Sabang
CUST00031,Laki-laki,26-35,2024-11-15,Bengkulu
CUST00032,Perempuan,26-35,2025-07-02,Sawahlunto
CUST00033,Laki-laki,46+,2025-07-16,Tanjungpinang
CUST00034,Laki-laki,26-35,2026-04-04,Blitar
CUST00035,Perempuan,18-25,2026-01-27,Lubuklinggau
CUST00036,Perempuan,26-35,2025-02-08,Cilegon
CUST00037,Laki-laki,46+,2024-07-28,Bandar Lampung
CUST00038,Laki-laki,36-45,2025-06-14,Bandung
CUST00039,Perempuan,36-45,2026-02-10,Kota Administrasi Jakarta Utara
CUST00040,Laki-laki,26-35,2025-11-20,Ternate
CUST00041,Laki-laki,18-25,2026-04-23,Pangkalpinang
CUST00042,Laki-laki,18-25,2024-08-09,Tangerang
CUST00043,Laki-laki,36-45,2024-10-22,Sabang
CUST00044,Perempuan,26-35,2026-04-14,Pontianak
CUST00045,Laki-laki,26-35,2025-12-20,Pekanbaru
CUST00046,Laki-laki,36-45,2026-02-27,Semarang
CUST00047,Laki-laki,18-25,2024-10-27,Palembang
CUST00048,Laki-laki,36-45,2025-05-25,Bau-Bau
CUST00049,Laki-laki,18-25,2025-12-27,Kota Administrasi Jakarta Utara
CUST00050,Perempuan,26-35,2025-04-15,Salatiga
CUST00051,Perempuan,26-35,2025-01-12,Mataram
CUST00052,Perempuan,36-45,2026-04-30,Blitar
CUST00053,Laki-laki,26-35,2025-08-23,Kota Administrasi Jakarta Pusat
CUST00054,Laki-laki,36-45,2026-05-16,Bogor
CUST00055,Laki-laki,18-25,2024-06-16,Gorontalo
CUST00056,Perempuan,26-35,2024-07-10,Banjar
CUST00057,Perempuan,46+,2024-07-15,Madiun
CUST00058,Perempuan,46+,2024-08-14,Cirebon
CUST00059,Perempuan,36-45,2025-10-28,Tarakan
CUST00060,Perempuan,46+,2025-07-14,Palopo
CUST00061,Laki-laki,26-35,2024-10-23,Tangerang
CUST00062,Laki-laki,46+,2026-03-15,Pasuruan
CUST00063,Laki-laki,18-25,2024-06-15,Tomohon
