driver_id,vehicle_type,driver_rating,driver_status
DRV00001,mobil,4.12,aktif
DRV00002,mobil,4.25,nonaktif
DRV00003,mobil,4.57,nonaktif
DRV00004,mobil,3.74,aktif
DRV00005,motor,3.86,nonaktif
DRV00006,motor,4.77,nonaktif
DRV00007,motor,4.79,aktif
DRV00008,mobil,4.59,aktif
DRV00009,motor,4.56,aktif
DRV00010,motor,4.22,aktif
DRV00011,motor,4.75,nonaktif
DRV00012,mobil,4.14,aktif
DRV00013,mobil,3.66,aktif
DRV00014,motor,4.67,aktif
DRV00015,mobil,3.67,nonaktif
DRV00016,mobil,4.37,aktif
DRV00017,motor,4.06,aktif
DRV00018,mobil,4.93,aktif
DRV00019,motor,4.38,aktif
DRV00020,motor,3.54,aktif
DRV00021,mobil,4.99,aktif
DRV00022,motor,5.0,nonaktif
DRV00023,motor,4.52,nonaktif
DRV00024,mobil,4.74,aktif
DRV00025,mobil,4.32,aktif
DRV00026,mobil,4.2,aktif
DRV00027,motor,4.71,aktif
DRV00028,mobil,4.89,nonaktif
DRV00029,motor,4.83,aktif
DRV00030,motor,3.94,aktif
DRV00031,motor,3.78,nonaktif
DRV00032,motor,3.88,nonaktif
DRV00033,mobil,4.37,aktif
DRV00034,mobil,3.74,nonaktif
DRV00035,mobil,4.15,aktif
DRV00036,motor,4.31,aktif
DRV00037,mobil,4.63,nonaktif
DRV00038,mobil,3.59,nonaktif
DRV00039,mobil,3.66,aktif
DRV00040,motor,3.69,aktif
DRV00041,mobil,3.77,aktif
DRV00042,motor,4.84,aktif
DRV00043,mobil,3.83,aktif
DRV00044,mobil,4.96,nonaktif
DRV00045,motor,3.69,nonaktif
DRV00046,mobil,4.18,nonaktif
DRV00047,motor,4.18,aktif
DRV00048,mobil,4.03,aktif
DRV00049,mobil,3.9,nonaktif
DRV00050,motor,4.18,aktif
DRV00051,mobil,3.95,aktif
DRV00052,mobil,4.62,nonaktif
DRV00053,mobil,4.77,aktif
DRV00054,motor,3.57,aktif
DRV00055,motor,4.35,aktif
DRV00056,motor,3.75,aktif
DRV00057,mobil,4.66,nonaktif
DRV00058,motor,4.43,nonaktif
DRV00059,mobil,4.31,aktif
DRV00060,motor,3.76,aktif
DRV00061,mobil,4.94,aktif
DRV00062,motor,3.76,aktif
DRV00063,motor,4.04,aktif
DRV00064,motor,4.71,nonaktif
DRV00065,mobil,4.78,aktif
DRV00066,motor,4.43,aktif
DRV00067,mobil,3.93,aktif
DRV00068,motor,4.78,nonaktif
DRV00069,motor,4.44,aktif
DRV00070,motor,4.81,nonaktif
DRV00071,motor,4.09,aktif
DRV00072,mobil,3.7,aktif
DRV00073,mobil,4.35,aktif
DRV00074,motor,3.69,nonaktif
DRV00075,mobil,3.64,aktif
DRV00076,mobil,4.67,nonaktif
DRV00077,mobil,4.86,aktif
DRV00078,motor,3.68,aktif
DRV00079,mobil,4.1,aktif
DRV00080,mobil,4.19,nonaktif
DRV00081,mobil,3.74,aktif
DRV00082,mobil,3.77,nonaktif
DRV00083,motor,4.35,nonaktif
DRV00084,mobil,4.43,aktif
DRV00085,motor,3.77,nonaktif
DRV00086,motor,4.55,aktif
DRV00087,mobil,4.06,nonaktif
DRV00088,motor,4.92,nonaktif
DRV00089,mobil,3.98,nonaktif
DRV00090,mobil,4.07,aktif
DRV00091,motor,4.84,nonaktif
DRV00092,motor,4.17,aktif
DRV00093,motor,3.51,aktif
DRV00094,mobil,3.97,aktif
DRV00095,mobil,3.59,aktif
DRV00096,motor,3.59,aktif
DRV00097,mobil,4.03,nonaktif
DRV00098,motor,3.91,aktif
DRV00099,motor,4.37,aktif
DRV00100,mobil,3.86,aktif
DRV00101,mobil,4.23,nonaktif
DRV00102,motor,3.89,aktif
DRV00103,mobil,4.54,nonaktif
DRV00104,motor,3.73,aktif
DRV00105,motor,4.56,nonaktif
DRV00106,mobil,4.55,aktif
DRV00107,motor,4.6,aktif
DRV00108,mobil,4.66,nonaktif
DRV00109,mobil,3.56,nonaktif
DRV00110,mobil,4.74,aktif
DRV00111,motor,4.82,aktif
