time_id,date,month,quarter,year,hour
2023010100,2023-01-01,1,1,2023,0
2023010101,2023-01-01,1,1,2023,1
2023010102,2023-01-01,1,1,2023,2
2023010103,2023-01-01,1,1,2023,3
2023010104,2023-01-01,1,1,2023,4
2023010105,2023-01-01,1,1,2023,5
2023010106,2023-01-01,1,1,2023,6
2023010107,2023-01-01,1,1,2023,7
2023010108,2023-01-01,1,1,2023,8
2023010109,2023-01-01,1,1,2023,9
2023010110,2023-01-01,1,1,2023,10
2023010111,2023-01-01,1,1,2023,11
2023010112,2023-01-01,1,1,2023,12
2023010113,2023-01-01,1,1,2023,13
2023010114,2023-01-01,1,1,2023,14
2023010115,2023-01-01,1,1,2023,15
2023010116,2023-01-01,1,1,2023,16
2023010117,2023-01-01,1,1,2023,17
2023010118,2023-01-01,1,1,2023,18
2023010119,2023-01-01,1,1,2023,19
2023010120,2023-01-01,1,1,2023,20
2023010121,2023-01-01,1,1,2023,21
2023010122,2023-01-01,1,1,2023,22
2023010123,2023-01-01,1,1,2023,23
2023010200,2023-01-02,1,1,2023,0
2023010201,2023-01-02,1,1,2023,1
2023010202,2023-01-02,1,1,2023,2
2023010203,2023-01-02,1,1,2023,3
2023010204,2023-01-02,1,1,2023,4
2023010205,2023-01-02,1,1,2023,5
2023010206,2023-01-02,1,1,2023,6
2023010207,2023-01-02,1,1,2023,7
2023010208,2023-01-02,1,1,2023,8
2023010209,2023-01-02,1,1,2023,9
2023010210,2023-01-02,1,1,2023,10
2023010211,2023-01-02,1,1,2023,11
2023010212,2023-01-02,1,1,2023,12
2023010213,2023-01-02,1,1,2023,13
2023010214,2023-01-02,1,1,2023,14
2023010215,2023-01-02,1,1,2023,15
2023010216,2023-01-02,1,1,2023,16
2023010217,2023-01-02,1,1,2023,17
2023010218,2023-01-02,1,1,2023,18
2023010219,2023-01-02,1,1,2023,19
2023010220,2023-01-02,1,1,2023,20
2023010221,2023-01-02,1,1,2023,21
2023010222,2023-01-02,1,1,2023,22
2023010223,2023-01-02,1,1,2023,23
2023010300,2023-01-03,1,1,2023,0
2023010301,2023-01-03,1,1,2023,1
2023010302,2023-01-03,1,1,2023,2
2023010303,2023-01-03,1,1,2023,3
2023010304,2023-01-03,1,1,2023,4
2023010305,2023-01-03,1,1,2023,5
2023010306,2023-01-03,1,1,2023,6
2023010307,2023-01-03,1,1,2023,7
2023010308,2023-01-03,1,1,2023,8
2023010309,2023-01-03,1,1,2023,9
2023010310,2023-01-03,1,1,2023,10
2023010311,2023-01-03,1,1,2023,11
2023010312,2023-01-03,1,1,2023,12
2023010313,2023-01-03,1,1,2023,13
2023010314,2023-01-03,1,1,2023,14
2023010315,2023-01-03,1,1,2023,15
2023010316,2023-01-03,1,1,2023,16
2023010317,2023-01-03,1,1,2023,17
2023010318,2023-01-03,1,1,2023,18
2023010319,2023-01-03,1,1,2023,19
2023010320,2023-01-03,1,1,2023,20
2023010321,2023-01-03,1,1,2023,21
2023010322,2023-01-03,1,1,2023,22
2023010323,2023-01-03,1,1,2023,23
