customer_id,gender,age_group,join_date,city
CUST00001,perempuan,36-45,2025-11-03,dumai
CUST00002,p,26-35,2024-11-07,binjai
CUST00003,P,36-45,2025-12-28,Jayapura
CUST00004,L,18-25,2025-03-09,kota administrasi jakarta selatan
CUST00005,perempuan,36-45,2025-05-28,Banjar
CUST00006,perempuan,46+,2024-10-13,kota administrasi jakarta pusat
CUST00007,perempuan,18-25,2025-11-30,sungai penuh
CUST00008,perempuan,18-25,2025-10-10,surakarta
CUST00009,p,36-45,2025-10-10,Cilegon
CUST00010,p,46+,2026-03-22,mataram
CUST00011,Laki-laki,36-45,2025-08-13,Solok
CUST00012,p,18-25,2025-01-24,Pematangsiantar
CUST00013,perempuan,36-45,2025-01-09,banjar
CUST00014,P,46+,2025-06-23,batu
CUST00015,Laki-laki,46+,2025-05-22,Mojokerto
CUST00016,L,46+,2025-01-22,Surakarta
CUST00017,P,36-45,2025-08-19,bitung
CUST00018,P,46+,2025-02-07,Tegal
CUST00019,Laki-laki,18-25,2026-03-15,
CUST00020,L,26-35,2025-12-16,sukabumi
CUST00021,Laki-laki,36-45,2025-10-12,bandar lampung
CUST00022,p,46+,2024-09-13,Parepare
CUST00023,Laki-laki,26-35,2025-07-18,Bukittinggi
CUST00024,p,26-35,2025-07-09,Bengkulu
CUST00025,L,18-25,2025-01-24,Makassar
CUST00026,perempuan,18-25,2024-12-15,sukabumi
CUST00027,p,18-25,2024-11-26,Kotamobagu
CUST00028,perempuan,26-35,2024-10-12,Pontianak
CUST00029,perempuan,46+,2024-12-28,lhokseumawe
CUST00030,perempuan,46+,2025-02-19,Pariaman
CUST00031,L,26-35,2024-11-02,Semarang
CUST00032,Laki-laki,46+,2025-10-05,bukittinggi
CUST00033,Laki-laki,46+,2024-12-25,cirebon
CUST00034,L,36-45,2025-10-08,bima
CUST00035,perempuan,26-35,2025-03-25,Mataram
CUST00036,perempuan,18-25,2025-08-12,Cimahi
CUST00037,p,46+,2026-01-20,Tebingtinggi
CUST00038,p,18-25,2026-01-01,Binjai
CUST00039,Laki-laki,26-35,2025-08-11,cimahi
CUST00040,L,26-35,2025-05-11,Parepare
CUST00041,L,46+,2024-10-11,Salatiga
CUST00042,L,18-25,2024-11-08,Metro
CUST00043,perempuan,18-25,2024-07-24,Tegal
CUST00044,Laki-laki,26-35,2026-02-07,langsa
CUST00045,Laki-laki,36-45,2024-07-19,Malang
CUST00046,P,36-45,2026-04-24,bengkulu
CUST00047,Laki-laki,36-45,2024-07-06,Cilegon
CUST00048,L,46+,2026-05-10,Makassar
CUST00049,P,36-45,2025-06-25,Kota Administrasi Jakarta Utara
CUST00050,L,18-25,2025-06-24,kediri
CUST00051,perempuan,26-35,2025-08-17,depok
CUST00052,perempuan,26-35,2026-05-02,singkawang
CUST00053,perempuan,36-45,2025-03-03,Kota Administrasi Jakarta Utara
CUST00054,L,26-35,2025-11-22,meulaboh
CUST00055,P,18-25,2026-04-27,jayapura
CUST00056,P,46+,2026-02-05,padang sidempuan
CUST00057,Laki-laki,36-45,2024-08-13,
CUST00058,Laki-laki,46+,2026-01-27,medan
CUST00059,perempuan,26-35,2025-09-06,palembang
CUST00060,Laki-laki,36-45,2024-07-15,Batu
CUST00061,P,46+,2024-05-31,tanjungpinang
CUST00062,p,36-45,2025-04-01,Pagaralam
CUST00063,L,36-45,2025-02-05,Pagaralam
CUST00064,Laki-laki,36-45,2024-08-12,Binjai
CUST00065,p,18-25,2025-09-23,bitung
CUST00066,perempuan,36-45,2024-11-29,ambon
CUST00067,perempuan,18-25,2025-01-28,langsa
CUST00068,Laki-laki,18-25,2026-02-09,kupang
CUST00069,L,46+,2026-01-16,Jambi
CUST00070,perempuan,36-45,2025-04-13,Surabaya
CUST00071,p,26-35,2024-07-25,palopo
CUST00072,perempuan,18-25,2026-04-17,singkawang
CUST00073,P,36-45,2025-03-01,Tegal
CUST00074,p,18-25,2025-07-19,madiun
CUST00075,perempuan,46+,2025-11-23,yogyakarta
CUST00076,p,18-25,2024-07-06,Kupang
CUST00077,p,26-35,2025-05-19,Sabang
CUST00078,L,36-45,2024-12-08,Sukabumi
CUST00079,p,36-45,2025-05-16,mojokerto
CUST00080,Laki-laki,26-35,2025-10-29,gorontalo
CUST00081,Laki-laki,18-25,2025-08-19,jayapura
CUST00082,perempuan,18-25,2024-07-23,Dumai
CUST00083,L,18-25,2026-01-22,ambon
CUST00084,P,18-25,2024-10-29,Tangerang Selatan
CUST00085,L,18-25,2025-11-02,tegal
CUST00086,P,18-25,2026-02-21,payakumbuh
CUST00087,Laki-laki,36-45,2025-10-30,salatiga
CUST00088,L,26-35,2025-03-07,Padang
