driver_id,vehicle_type,driver_rating,driver_status
DRV00001,mobil,4.64,Aktif
DRV00002,Mobil,4.17,aktif
DRV00003,mOtOr,3.71,aktif
DRV00004,Motor,3.55,aktif
DRV00005,Motor,3.98,aktif
DRV00006,Motor,4.68,nonaktif
DRV00007,MOTOR,3.76,aktif
DRV00008,Motor,4.03,aktif
DRV00009,mOtOr,4.99,aktif
DRV00010,mobil,4.49,aktif
DRV00011,mOtOr,3.95,Aktif
DRV00012,mobil,4.56,aktif
DRV00013,mOtOr,4.28,Aktif
DRV00014,MOTOR,4.02,Aktif
DRV00015,Mobil,4.67,nonaktif
DRV00016,mobil,3.69,nonaktif
DRV00017,mOtOr,3.92,aktif
DRV00018,Motor,4.56,aktif
DRV00019,mobil,3.79,Aktif
DRV00020,mOtOr,4.65,aktif
DRV00021,mobil,4.58,aktif
DRV00022,mobil,4.48,nonaktif
DRV00023,Mobil,4.14,Aktif
DRV00024,Motor,4.46,nonaktif
DRV00025,Motor,4.17,nonaktif
DRV00026,Motor,3.95,Aktif
DRV00027,Motor,4.11,aktif
DRV00028,MOTOR,4.46,aktif
DRV00029,mobil,4.56,nonaktif
DRV00030,MOTOR,4.75,Aktif
DRV00031,mobil,3.51,Aktif
DRV00032,MOTOR,4.58,aktif
DRV00033,Mobil,4.97,aktif
DRV00034,mobil,4.65,nonaktif
DRV00035,MOTOR,4.15,aktif
DRV00036,Motor,4.55,Aktif
DRV00037,mobil,4.41,Aktif
DRV00038,mobil,3.51,aktif
DRV00039,Motor,4.52,nonaktif
DRV00040,Motor,4.42,nonaktif
DRV00041,Motor,4.1,aktif
DRV00042,mOtOr,3.57,nonaktif
DRV00043,MOTOR,4.57,Aktif
DRV00044,Mobil,3.57,aktif
DRV00045,mobil,4.95,nonaktif
DRV00046,mobil,4.59,Aktif
DRV00047,Motor,4.77,Aktif
DRV00048,mOtOr,4.64,aktif
DRV00049,mobil,4.53,nonaktif
DRV00050,Motor,4.71,Aktif
DRV00051,Motor,4.82,aktif
DRV00052,Mobil,4.28,nonaktif
DRV00053,mOtOr,3.83,Aktif
DRV00054,mOtOr,4.98,Aktif
DRV00055,Mobil,4.95,aktif
DRV00056,Mobil,4.05,Aktif
DRV00057,Mobil,4.61,aktif
DRV00058,mobil,4.66,Aktif
DRV00059,Motor,4.89,nonaktif
DRV00060,Motor,4.96,nonaktif
DRV00061,mobil,3.96,nonaktif
DRV00062,mOtOr,4.83,aktif
DRV00063,mobil,3.76,aktif
DRV00064,mOtOr,4.52,Aktif
DRV00065,mOtOr,3.83,nonaktif
DRV00066,Motor,4.86,nonaktif
DRV00067,mOtOr,4.01,aktif
DRV00068,Motor,4.33,nonaktif
DRV00069,mOtOr,3.76,nonaktif
DRV00070,mOtOr,4.48,Aktif
DRV00071,Mobil,4.44,aktif
DRV00072,Mobil,4.03,nonaktif
DRV00073,Mobil,4.87,nonaktif
DRV00074,mobil,4.26,nonaktif
DRV00075,mobil,4.07,Aktif
DRV00076,Motor,4.87,Aktif
DRV00077,MOTOR,4.72,nonaktif
DRV00078,Mobil,3.8,Aktif
DRV00079,mobil,4.93,aktif
DRV00080,mOtOr,4.67,aktif
DRV00081,Motor,3.93,nonaktif
DRV00082,mOtOr,3.99,nonaktif
DRV00083,Mobil,3.66,nonaktif
DRV00084,mobil,4.22,Aktif
DRV00085,Motor,4.11,Aktif
DRV00086,Motor,4.69,Aktif
DRV00087,mOtOr,4.54,aktif
DRV00088,MOTOR,3.92,Aktif
DRV00089,mOtOr,4.85,nonaktif
DRV00090,MOTOR,4.6,nonaktif
DRV00091,Motor,4.53,Aktif
DRV00092,MOTOR,3.61,nonaktif
DRV00093,mOtOr,3.56,Aktif
DRV00094,mobil,4.71,Aktif
DRV00095,mobil,4.05,nonaktif
DRV00096,Mobil,4.43,nonaktif
DRV00097,mobil,4.64,Aktif
DRV00098,mobil,4.29,Aktif
DRV00099,MOTOR,,Aktif
DRV00100,Mobil,3.62,aktif
DRV00101,Motor,4.68,nonaktif
DRV00102,mobil,4.67,Aktif
DRV00103,MOTOR,4.92,Aktif
DRV00104,MOTOR,3.53,nonaktif
DRV00105,mobil,4.33,nonaktif
DRV00106,mobil,3.51,aktif
DRV00107,Mobil,3.67,nonaktif
DRV00108,Motor,4.36,Aktif
DRV00109,MOTOR,3.91,Aktif
DRV00110,Motor,3.52,aktif
DRV00111,Mobil,3.65,aktif
DRV00112,mOtOr,3.67,aktif
DRV00113,MOTOR,4.35,nonaktif
DRV00114,Motor,3.97,Aktif
DRV00115,Motor,3.68,aktif
DRV00116,MOTOR,3.57,nonaktif
DRV00117,mobil,4.48,Aktif
DRV00118,mOtOr,4.91,Aktif
DRV00119,Motor,3.59,nonaktif
DRV00120,MOTOR,3.8,nonaktif
DRV00121,MOTOR,3.88,nonaktif
DRV00122,mobil,4.77,nonaktif
