order_id,customer_id,driver_id,service_id,payment_id,location_id,time_id,price,distance,discount,order_status
ORD00001,CUST01573,DRV00731,SRV03,PAY02,LOC00958,T2023020414,132734,9.93,5000,
ORD00002,CUST08992,DRV05732,SRV02,PAY02,LOC09272,T2023040906,80954,16.46,5000,completed
ORD00003,CUST02648,DRV02825,SRV01,PAY01,LOC06618,T2023071515,53631,14.48,5000,completed
ORD00004,CUST01622,DRV05832,SRV02,PAY02,LOC01637,T2023032005,1,4.37,5000,completed
ORD00005,CUST03986,DRV03102,SRV02,PAY01,LOC09948,T2023090807,122612,15.58,0,cancelled
ORD00006,CUST01171,DRV06027,SRV01,PAY03,LOC07207,T2023070821,193265,4.54,10000,COMPLETED
ORD00007,CUST04810,DRV07458,SRV03,PAY01,LOC07610,T2023010223,45587,17.7,10000,COMPLETED
ORD00008,CUST01416,DRV09722,SRV03,PAY01,LOC05495,T2023060114,1,7.11,0,COMPLETED
ORD00009,CUST06539,DRV01980,SRV03,PAY01,LOC06473,T2023082509,115332,12.21,0,completed
ORD00010,CUST09549,DRV00161,SRV01,PAY01,LOC01395,T2023112605,194187,14.74,0,cancelled
ORD00011,CUST09409,DRV02021,SRV01,PAY03,LOC09592,T2023100818,68891,5.03,0,COMPLETED
ORD00012,CUST06793,DRV06041,SRV01,PAY02,LOC02206,T2023021510,95043,3.31,0,COMPLETED
ORD00013,CUST08918,DRV09825,SRV01,PAY03,LOC08267,T2023010519,108393,6.11,0,COMPLETED
ORD00014,CUST05142,DRV03005,SRV03,PAY03,LOC08596,T2023012902,132464,5.44,5000,cancelled
ORD00015,CUST06201,DRV04795,SRV03,PAY02,LOC07701,T2023080816,64618,2.78,10000,completed
ORD00016,CUST03633,DRV09992,SRV03,PAY02,LOC08776,T2023070408,179659,10.27,10000,cancelled
ORD00017,CUST07018,DRV03336,SRV02,PAY03,LOC08165,T2023052614,78557,10.43,0,cancelled
ORD00018,CUST06811,DRV03979,SRV03,PAY03,LOC00739,T2023110311,138280,8.94,10000,COMPLETED
ORD00019,CUST05470,DRV02829,SRV02,PAY01,LOC06050,T2024020815,105701,5.89,10000,cancelled
ORD00020,CUST03636,DRV03174,SRV03,PAY03,LOC05305,T2023100422,82618,3.49,5000,completed
ORD00021,CUST08182,DRV03672,SRV02,PAY02,LOC01681,T2023120712,135808,1.88,10000,cancelled
ORD00022,CUST02948,DRV01052,SRV03,PAY03,LOC00146,T2023090915,21709,18.18,10000,COMPLETED
ORD00023,CUST00505,DRV01488,SRV02,PAY03,LOC09023,T2024013009,1,13.02,10000,cancelled
ORD00024,CUST00105,DRV08105,SRV02,PAY01,LOC08105,T2023111210,192823,16.47,10000,cancelled
ORD00025,CUST01021,DRV07385,SRV03,PAY03,LOC04774,T2023100909,28529,10.61,5000,completed
ORD00026,CUST06234,DRV06924,SRV03,PAY03,LOC03339,T2023082510,187324,19.75,10000,
ORD00027,CUST03872,DRV06224,SRV03,PAY03,LOC03909,T2023062703,109000,2.24,0,completed
ORD00028,CUST05375,DRV00921,SRV01,PAY02,LOC05416,T2023012700,1,19.93,0,completed
ORD00029,CUST09669,DRV09391,SRV03,PAY03,LOC02195,T2023053019,35790,19.43,0,completed
ORD00030,CUST09411,DRV06171,SRV02,PAY02,LOC08426,T2023050718,22701,12.35,5000,cancelled
ORD00031,CUST05086,DRV01223,SRV01,PAY02,LOC05714,T2023122421,103053,18.34,0,
ORD00032,CUST05652,DRV06828,SRV02,PAY02,LOC09367,T2023040504,72918,7.06,0,COMPLETED
ORD00033,CUST02351,DRV07853,SRV01,PAY01,LOC07480,T2023080714,187435,7.16,0,completed
ORD00034,CUST01579,DRV03339,SRV03,PAY01,LOC00176,T2023073016,22761,11.92,10000,COMPLETED
ORD00035,CUST01328,DRV09853,SRV02,PAY02,LOC03424,T2023011423,139142,14.04,10000,cancelled
ORD00036,CUST06826,DRV00122,SRV03,PAY02,LOC06158,T2023101611,84713,2.25,0,cancelled
ORD00037,CUST08583,DRV04773,SRV03,PAY03,LOC00511,T2023011309,42089,19.73,0,completed
ORD00038,CUST07132,DRV07432,SRV01,PAY02,LOC07825,T2023010623,63093,17.71,0,
ORD00039,CUST09108,DRV02580,SRV02,PAY02,LOC07899,T2023081800,157068,9.22,0,completed
ORD00040,CUST01323,DRV04962,SRV03,PAY03,LOC06376,T2023122201,114099,8.09,0,completed
ORD00041,CUST03098,DRV09824,SRV03,PAY02,LOC04035,T2023102803,92475,9.16,5000,COMPLETED
ORD00042,CUST00803,DRV07750,SRV02,PAY01,LOC00435,T2023011518,27514,2.96,0,completed
ORD00043,CUST01057,DRV00492,SRV02,PAY01,LOC06817,T2024020320,186910,10.82,0,
ORD00044,CUST07914,DRV09198,SRV01,PAY01,LOC08945,T2023042616,75216,11.64,0,
ORD00045,CUST02939,DRV02399,SRV01,PAY02,LOC09364,T2023081811,99857,17.62,5000,
ORD00046,CUST09088,DRV00079,SRV02,PAY01,LOC09897,T2023012310,-50000,1.98,5000,
ORD00047,CUST09874,DRV07994,SRV01,PAY01,LOC03220,T2023062718,121206,10.96,0,
ORD00048,CUST01173,DRV09901,SRV03,PAY01,LOC09961,T2023012517,76903,12.41,10000,COMPLETED
ORD00049,CUST05170,DRV00923,SRV01,PAY03,LOC01880,T2023051523,53139,5.62,5000,completed
ORD00050,CUST03763,DRV05120,SRV01,PAY02,LOC07844,T2023070505,105515,6.85,0,cancelled
ORD00051,CUST03803,DRV07395,SRV02,PAY03,LOC04063,T2023100222,16618,10.56,10000,
ORD00052,CUST01162,DRV06081,SRV01,PAY02,LOC00139,T2023051207,58550,19.79,0,completed
ORD00053,CUST01817,DRV02863,SRV02,PAY02,LOC07922,T2023070405,70778,14.83,0,completed
ORD00054,CUST00816,DRV06620,SRV02,PAY02,LOC01106,T2023082319,179555,13.94,0,completed
ORD00055,CUST04089,DRV07610,SRV01,PAY03,LOC08784,T2023030910,121911,10.09,10000,
ORD00056,CUST06864,DRV06965,SRV01,PAY03,LOC03502,T2023070120,76968,12.81,10000,
ORD00057,CUST04694,DRV04965,SRV01,PAY01,LOC01237,T2023041919,123082,17.22,0,COMPLETED
ORD00058,CUST08933,DRV01347,SRV01,PAY02,LOC00682,T2023060922,15317,17.71,10000,
ORD00059,CUST03366,DRV03151,SRV02,PAY01,LOC05554,T2023032218,34231,19.57,5000,
ORD00060,CUST07227,DRV08860,SRV01,PAY02,LOC08091,T2023100618,165596,10.95,0,cancelled
ORD00061,CUST07677,DRV09690,SRV01,PAY02,LOC03854,T2023092514,166965,17.12,10000,completed
ORD00062,CUST07655,DRV06064,SRV02,PAY03,LOC08357,T2023052522,96806,18.96,0,completed
ORD00063,CUST08706,DRV03770,SRV01,PAY02,LOC05670,T2023070513,160522,8.09,10000,
ORD00064,CUST05474,DRV07539,SRV01,PAY03,LOC06796,T2023011519,81062,19.88,0,COMPLETED
ORD00065,CUST02270,DRV01702,SRV01,PAY02,LOC08191,T2023020914,50463,11.47,0,
ORD00066,CUST05280,DRV05191,SRV01,PAY03,LOC08776,T2024010315,186026,8.05,10000,
ORD00067,CUST02857,DRV08588,SRV03,PAY02,LOC08653,T2023041621,133812,14.52,0,
