location_id,city,province,region
LOC00001,Pematangsiantar,Kalimantan Tengah,
LOC00002,Kotamobagu,Kalimantan Barat,JAWA TENGAH
LOC00003,Tegal,DKI Jakarta,Bali
LOC00004,Probolinggo,Lampung,Jawa Barat
LOC00005,Surabaya,Kepulauan Bangka Belitung,jabodetabek
LOC00006,Tangerang,Sulawesi Tenggara,
LOC00007,Bukittinggi,Kalimantan Tengah,JAWA TENGAH
LOC00008,Magelang,Lampung,
LOC00009,Subulussalam,Jawa Tengah,Bali
LOC00010,Manado,Riau,Jawa Barat
LOC00011,Bandung,Kalimantan Utara,Bali
LOC00012,Jambi,Gorontalo,
LOC00013,Banda Aceh,Nusa Tenggara Barat,jabodetabek
LOC00014,Kediri,Sulawesi Selatan,jabodetabek
LOC00015,Cimahi,Papua,Jawa Barat
LOC00016,Pasuruan,Riau,Jawa Barat
LOC00017,Pangkalpinang,Sulawesi Utara,Bali
LOC00018,Prabumulih,Lampung,
LOC00019,Sukabumi,Kalimantan Barat,Bali
LOC00020,Purwokerto,Kalimantan Tengah,Bali
LOC00021,Bukittinggi,Kepulauan Bangka Belitung,Bali
LOC00022,Bau-Bau,Papua Barat,JAWA TENGAH
LOC00023,Bogor,Kalimantan Utara,JAWA TENGAH
LOC00024,Payakumbuh,Papua,jabodetabek
LOC00025,Manado,Bali,Jawa Barat
LOC00026,Bau-Bau,Jawa Timur,
LOC00027,Sungai Penuh,DI Yogyakarta,jabodetabek
LOC00028,Palangkaraya,Lampung,JAWA TENGAH
LOC00029,Cilegon,Sumatera Utara,jabodetabek
LOC00030,Lhokseumawe,Sulawesi Selatan,Bali
LOC00031,Madiun,DKI Jakarta,jabodetabek
LOC00032,Pasuruan,Gorontalo,Jawa Barat
LOC00033,Kota Administrasi Jakarta Utara,Bengkulu,
LOC00034,Singkawang,Gorontalo,Bali
LOC00035,Bontang,Jawa Timur,JAWA TENGAH
LOC00036,Bogor,Gorontalo,
LOC00037,Palu,Sulawesi Barat,JAWA TENGAH
LOC00038,Gorontalo,Maluku Utara,jabodetabek
LOC00039,Jayapura,Maluku Utara,JAWA TENGAH
LOC00040,Kotamobagu,Bali,jabodetabek
LOC00041,Banjarbaru,Nusa Tenggara Barat,JAWA TENGAH
LOC00042,Mataram,Kalimantan Barat,JAWA TENGAH
LOC00043,Bandar Lampung,Sulawesi Barat,Bali
LOC00044,Cilegon,Sumatera Selatan,jabodetabek
LOC00045,Dumai,Kalimantan Timur,JAWA TENGAH
LOC00046,Kupang,Kalimantan Utara,Bali
LOC00047,Jayapura,Sulawesi Selatan,Bali
LOC00048,Purwokerto,Kepulauan Bangka Belitung,Jawa Barat
LOC00049,Banda Aceh,Banten,Jawa Barat
LOC00050,Pagaralam,Kalimantan Tengah,Jawa Barat
LOC00051,Bengkulu,Nusa Tenggara Barat,Bali
LOC00052,Prabumulih,Lampung,Bali
LOC00053,Palangkaraya,Papua Barat,Bali
LOC00054,Pontianak,Nusa Tenggara Timur,jabodetabek
LOC00055,Lhokseumawe,DKI Jakarta,jabodetabek
LOC00056,Manado,Kalimantan Selatan,Jawa Barat
LOC00057,Meulaboh,Sulawesi Selatan,jabodetabek
LOC00058,Padang Sidempuan,Riau,Jawa Barat
LOC00059,Makassar,Kalimantan Selatan,Bali
LOC00060,Tual,Riau,
LOC00061,Batam,Sulawesi Barat,Bali
LOC00062,Medan,Lampung,
LOC00063,Surakarta,DI Yogyakarta,
LOC00064,Bekasi,Maluku Utara,
LOC00065,Tebingtinggi,Bali,
LOC00066,Magelang,Jawa Barat,jabodetabek
LOC00067,Cirebon,Kalimantan Timur,JAWA TENGAH
LOC00068,Pangkalpinang,Kalimantan Barat,
LOC00069,Purwokerto,Sumatera Barat,jabodetabek
LOC00070,Pariaman,Kalimantan Utara,
LOC00071,Dumai,DKI Jakarta,jabodetabek
LOC00072,Kotamobagu,Aceh,Bali
